2025-09-02,E-TRANSFER ***CeP,,2000,2000.82
2025-09-02,TRUE NORTH CANN   _F,65.65,,1935.17
2025-09-02,TD ATM W/D    001212,1725,,210.17
2025-09-02,E-TRANSFER ***Fq2,,50,260.17
2025-09-02,BET365 ENDZIN 2   _V,50,,210.17
2025-09-02,TD ATM DEP    008632,,50,260.17
2025-09-02,SEND E-TFR ***wqt,50,,210.17
2025-09-02,TO:TD C/C 3163,55.17,,155
2025-09-02,TO:TD C/C 4299,96.17,,58.83
2025-09-02,TO:TD C/C 2102,58.17,,0.66
2025-09-02,E-TRANSFER ***brg,,3000,3000.66
2025-09-02,GC 0326-TRANSFER,,1000,4000.66
2025-09-02,CAD DRAFT 11408035,3909.95,,90.71
2025-09-02,SEND E-TFR ***5G9,50,,40.71
2025-09-02,TIM HORTONS #24   _F,16.22,,24.49
2025-09-02,DOLLARAMA # 682   _F,1.07,,23.42
2025-09-02,NSLSC            MSP,126.01,,-102.59
2025-09-03,RTN NSF,,126.01,23.42
2025-09-03,NSF RETURN FEE,48,,-24.58
2025-09-05,TD ATM DEP    000395,,50,25.42
2025-09-05,UBER * PENDING    _V,16.32,,9.1
2025-09-05,TIM HORTONS #26   _F,8.57,,0.53
2025-09-08,TD ATM DEP    001761,,100,100.53
2025-09-08,SEND E-TFR ***caU,50,,50.53
2025-09-08,SHOPPERS DRUG M   _F,25,,25.53
2025-09-08,WENDY'S #6697     _F,9.03,,16.5
2025-09-08,PRES/PWHJD5CTRQ   _T,4.75,,11.75
2025-09-08,RO134 TFR-TO C/C,11.75,,0
2025-09-11,TD               PAY,,271.96,271.96
2025-09-11,A&W #4570         _F,16.13,,255.83
2025-09-11,TIM HORTONS #26   _F,13.76,,242.07
2025-09-11,IT423 TFR-TO C/C,180,,62.07
2025-09-12,UBER CANADA/UBE   _V,61.66,,0.41
2025-09-12,E-TRANSFER ***QWR,,900,900.41
2025-09-12,TD ATM W/D    003608,900,,0.41
2025-09-15,UBER CAN REV 09/12_V,,61.66,62.07
2025-09-15,UBER CANADA/UBE   _V,54.92,,7.15
2025-09-15,RW430 TFR-FR C/C,,30,37.15
2025-09-15,APPLE.COM/BILL    _V,29.34,,7.81
2025-09-17,PLANET FITNESS   FEE,33.89,,-26.08
2025-09-18,HD030 TFR-FR C/C,,26.08,0
2025-09-18,E-TRANSFER ***xbB,,7,7
2025-09-18,E-TRANSFER ***TPa,,3,10
2025-09-18,NSF PAID FEE,5,,5
2025-09-19,E-TRANSFER ***3TZ,,20,25
2025-09-19,SHOPPERS DRUG M   _F,10,,15
2025-09-19,DOLLARAMA # 682   _F,8,,7
2025-09-19,FRESHCO #3861     _F,3.77,,3.23
2025-09-19,E-TRANSFER ***G3s,,20,23.23
2025-09-22,Spotify P3   14.34_V,14.34,,8.89
2025-09-22,E-TRANSFER ***6Kn,,40,48.89
2025-09-22,FRESHCO #3861     _F,40,,8.89
2025-09-22,PAYPAL *UBER      _V,2.83,,6.06
2025-09-22,TD ATM DEP    008078,,750,756.06
2025-09-22,TD ATM DEP    008080,,50,806.06
2025-09-22,SEND E-TFR ***h3W,800,,6.06
2025-09-22,E-TRANSFER ***kkX,,300,306.06
2025-09-22,TD ATM W/D    008159,300,,6.06
2025-09-23,TIM HORTONS #26   _F,0.4,,5.66
2025-09-23,WENDY'S #6697     _F,3.66,,2
2025-09-25,TD               PAY,,271.97,273.97
2025-09-25,E-TRANSFER ***8Cp,,50,323.97
2025-09-25,TO:TD C/C 3163,45.07,,278.9
2025-09-25,TD VISA      R5Q2Q6,32.94,,245.96
2025-09-25,PAYPAL *UBER      _V,13.54,,232.42
2025-09-25,TIM HORTONS #26   _F,5.96,,226.46
2025-09-25,ESSO CIRCLE K     _F,7.45,,219.01
2025-09-25,AMEX BILL PYMT   MSP,159.78,,59.23
2025-09-25,IX504 TFR-TO C/C,40,,19.23
2025-09-26,APPLE.COM/BILL    _V,14.68,,4.55
2025-09-26,PAYPAL * REV 09/25_V,,13.54,18.09
2025-09-26,PAYPAL *UBER      _V,14.09,,4
2025-09-26,E-TRANSFER ***ZVP,,1800,1804
2025-09-26,TD ATM W/D    009846,1800,,4
2025-09-29,UB470 TFR-TO C/C,4,,0
2025-09-29,TD ATM DEP    000746,,100,100
2025-09-29,SHOPPERS DRUG M   _F,20,,80
2025-09-29,EQUIFAX CANADA    _V,39.49,,40.51
2025-09-29,OVERDRAFT INTEREST,0.04,,40.47
2025-09-29,CHQ RETURN FEE,2,,38.47
2025-10-01,BET365 ENDZIN 2   _V,20,,18.47
2025-10-01,BET365 ENDZIN 2   _V,,146.02,164.49
2025-10-01,WD455 TFR-TO C/C,21.8,,142.69
2025-10-01,TD VISA      A2Z8J4,58.26,,84.43
2025-10-01,TSI INTERNET      _V,61.6,,22.83
2025-10-01,BET365 ENDZIN 2   _V,,150,172.83
2025-10-01,FRESHCO #3861     _F,58.1,,114.73
2025-10-02,IQ165 TFR-TO C/C,114.73,,0
2025-10-06,E-TRANSFER ***HfU,,1200,1200
2025-10-06,SEND E-TFR ***vmr,100,,1100
2025-10-06,SEND E-TFR ***HaE,200,,900
2025-10-06,SEND E-TFR ***tWe,900,,0
2025-10-06,E-TRANSFER ***R6S,,60,60
2025-10-06,E-TRANSFER ***jaP,,900,960
2025-10-06,TD ATM W/D    004061,900,,60
2025-10-06,UBER CANADA/UBE   _V,11.65,,48.35
2025-10-06,RY373 TFR-TO C/C,30,,18.35
2025-10-08,HU435 TFR-TO C/C,18.35,,0
2025-10-09,TD               PAY,,862.42,862.42
2025-10-09,SEND E-TFR ***hqC,30,,832.42
2025-10-09,SEND E-TFR ***hGC,35,,797.42
2025-10-09,IW435 TFR-TO C/C,498.05,,299.37
2025-10-09,IW532 TFR-TO 6125141,127,,172.37
2025-10-09,IL145 TFR-TO C/C,25,,147.37
2025-10-09,IU571 TFR-TO C/C,40,,107.37
2025-10-09,PAYPAL *PA   16.39_V,16.39,,90.98
2025-10-10,NSLSC            MSP,60,,30.98
2025-10-14,STEAMGAMES    4.40_V,4.4,,26.58
2025-10-14,UL304 TFR-FR C/C,,390,416.58
2025-10-14,PEARLE VISION,390,,26.58
2025-10-14,UO022 TFR-FR 6125141,,45,71.58
2025-10-14,PIZZA HUT         _F,19.2,,52.38
