2025-09-02,E-TRANSFER ***CeP,,2000,2000.82
2025-09-02,FRESHCO #3861     _F,65.65,,1935.17
2025-09-02,TD ATM W/D    001212,1725,,210.17
2025-09-02,E-TRANSFER ***Fq2,,50,260.17
2025-09-02,PLANET FITNESS   FEE,25,,235.17
2025-09-02,TD ATM DEP    008632,,50,285.17
2025-09-02,SEND E-TFR ***wqt,50,,235.17
2025-09-02,TO:TD C/C 3163,55.17,,180.00
2025-09-02,TO:TD C/C 4299,96.17,,83.83
2025-09-02,TO:TD C/C 2102,58.17,,25.66
2025-09-02,E-TRANSFER ***brg,,3000,3025.66
2025-09-02,GC 0326-TRANSFER,,1000,4025.66
2025-09-02,CAD DRAFT 11408035,3909.95,,115.71
2025-09-02,SEND E-TFR ***5G9,50,,65.71
2025-09-02,TIM HORTONS #24   _F,16.22,,49.49
2025-09-02,DOLLARAMA # 682   _F,1.07,,48.42
2025-09-02,NSLSC            MSP,126.01,,-77.59
2025-09-03,RTN NSF,,126.01,48.42
2025-09-03,NSF RETURN FEE,48,,0.42
2025-09-05,TD ATM DEP    000395,,50,50.42
2025-09-05,UBER * PENDING    _V,16.32,,34.10
2025-09-05,TIM HORTONS #26   _F,8.57,,25.53
2025-09-08,TD ATM DEP    001761,,100,125.53
2025-09-08,SEND E-TFR ***caU,50,,75.53
2025-09-08,SHOPPERS DRUG M   _F,25,,50.53
2025-09-08,WENDY'S #6697     _F,9.03,,41.50
2025-09-08,PRES/PWHJD5CTRQ   _T,4.75,,36.75
2025-09-08,RO134 TFR-TO C/C,36.75,,0.00
2025-09-11,TD               PAY,,271.96,271.96
2025-09-11,A&W #4570         _F,16.13,,255.83
2025-09-11,TIM HORTONS #26   _F,13.76,,242.07
2025-09-11,IT423 TFR-TO C/C,180,,62.07
2025-09-12,UBER CANADA/UBE   _V,61.66,,0.41
2025-09-12,E-TRANSFER ***QWR,,900,900.41
2025-09-12,TD ATM W/D    003608,900,,0.41
2025-09-15,UBER CAN REV 09/12_V,,61.66,62.07
2025-09-15,UBER CANADA/UBE   _V,54.92,,7.15
2025-09-15,RW430 TFR-FR C/C,,30,37.15
2025-09-15,APPLE.COM/BILL    _V,29.34,,7.81
2025-09-17,PLANET FITNESS   FEE,33.89,,-26.08
2025-09-18,HD030 TFR-FR C/C,,26.08,0.00
2025-09-18,E-TRANSFER ***xbB,,7,7.00
2025-09-18,E-TRANSFER ***TPa,,3,10.00
2025-09-19,E-TRANSFER ***3TZ,,20,30.00
2025-09-19,SHOPPERS DRUG M   _F,10,,20.00
2025-09-19,DOLLARAMA # 682   _F,8,,12.00
2025-09-19,FRESHCO #3861     _F,3.77,,8.23
2025-09-19,E-TRANSFER ***G3s,,20,28.23
2025-09-22,Spotify P3   14.34_V,14.34,,13.89
2025-09-22,E-TRANSFER ***6Kn,,40,53.89
2025-09-22,FRESHCO #3861     _F,40,,13.89
2025-09-22,PAYPAL *UBER      _V,2.83,,11.06
2025-09-22,TD ATM DEP    008078,,750,761.06
2025-09-22,TD ATM DEP    008080,,50,811.06
2025-09-22,SEND E-TFR ***h3W,800,,11.06
2025-09-22,E-TRANSFER ***kkX,,300,311.06
2025-09-22,TD ATM W/D    008159,300,,11.06
2025-09-23,TIM HORTONS #26   _F,0.40,,10.66
2025-09-23,WENDY'S #6697     _F,3.66,,7.00
2025-09-25,TD               PAY,,271.97,278.97
2025-09-25,E-TRANSFER ***8Cp,,50,328.97
2025-09-25,TO:TD C/C 3163,45.07,,283.90
2025-09-25,TD VISA      R5Q2Q6,32.94,,250.96
2025-09-25,PAYPAL *UBER      _V,13.54,,237.42
2025-09-25,TIM HORTONS #26   _F,5.96,,231.46
2025-09-25,ESSO CIRCLE K     _F,7.45,,224.01
2025-09-25,AMEX BILL PYMT   MSP,159.78,,64.23
2025-09-25,IX504 TFR-TO C/C,40,,24.23
2025-09-26,APPLE.COM/BILL    _V,14.68,,9.55
2025-09-26,PAYPAL * REV 09/25_V,,13.54,23.09
2025-09-26,PAYPAL *UBER      _V,14.09,,9.00
2025-09-26,E-TRANSFER ***ZVP,,1800,1809.00
2025-09-26,TD ATM W/D    009846,1800,,9.00
2025-09-29,UB470 TFR-TO C/C,9,,0.00
2025-09-29,TD ATM DEP    000746,,100,100.00
2025-09-29,SHOPPERS DRUG M   _F,20,,80.00
2025-09-29,EQUIFAX CANADA    _V,39.49,,40.51
2025-09-29,OVERDRAFT INTEREST,0.04,,40.47
2025-09-29,CHQ RETURN FEE,2,,38.47
2025-10-01,MCDONALD'S #400   _F,20,,18.47
2025-10-01,TEKSAVVY     Y9U7U9,61.60,,22.83
2025-10-01,WD455 TFR-TO C/C,21.80,,1.03
